Perturbed Key,Reason,Category,Perturbation Type
chart_056_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_142_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_049_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_174_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_171_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_197_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_105_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_195_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_155_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_022_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_189_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_029_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_176_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_191_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_057_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_074_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_193_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_009_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_151_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_024_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_172_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_112_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_036_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_188_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_118_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_132_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_068_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_115_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_003_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_096_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_149_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_091_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_012_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_079_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_101_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_066_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_156_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_071_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_145_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_150_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_167_advanced_area,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_033_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_133_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_020_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_002_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_158_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_163_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_119_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_164_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_048_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_170_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_027_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_094_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_180_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_061_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_139_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_143_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_130_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_099_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_175_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_052_advanced_area,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_166_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_038_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_107_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_013_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_111_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_019_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_015_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_185_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_032_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_192_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_162_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_028_advanced_area,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_136_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_063_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_146_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_051_advanced_area,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_173_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_196_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_058_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_160_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_077_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_106_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_165_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_178_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_123_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_137_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_001_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_159_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_104_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_067_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_072_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_128_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_089_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_014_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_073_medium_area,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_035_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_144_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_124_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_047_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_141_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_108_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_001_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_194_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_127_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_190_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_069_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_021_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_080_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_135_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_078_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_116_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_037_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_184_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_087_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_122_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_054_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_083_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_002_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_109_advanced_bar,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_041_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_007_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_186_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_030_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_140_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_081_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_082_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_031_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_017_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_126_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_085_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_018_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_147_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_062_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_098_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_114_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_131_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_125_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_187_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_121_complex_scatter,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_043_medium_pie,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_100_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_168_advanced_line,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_199_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_092_advanced_scatter,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_046_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_198_medium_bar,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_088_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_138_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_117_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_023_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_008_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_064_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_034_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_090_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_045_complex_bar,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_010_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_169_medium_scatter,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_093_complex_area,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_076_medium_area,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_157_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_075_medium_line,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_016_medium_area,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_154_medium_area,Extraction failed - Missing or invalid data,Extraction Failure,medium
chart_182_advanced_pie,Extraction failed - Missing or invalid data,Extraction Failure,advanced
chart_200_complex_pie,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_152_complex_line,Extraction failed - Missing or invalid data,Extraction Failure,complex
chart_001_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_002_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_003_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_005_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_006_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_007_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_008_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_009_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_010_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_011_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_012_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_013_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_014_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_015_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_016_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_017_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_018_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_019_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_020_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_021_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_022_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_023_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_024_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_025_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_027_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_028_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_029_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_030_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_031_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_032_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_033_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_034_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_035_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_036_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_037_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_038_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_039_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_040_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_041_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_042_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_043_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_044_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_045_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_046_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_047_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_048_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_049_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_050_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_051_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_052_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_053_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_054_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_055_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_056_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_057_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_058_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_059_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_060_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_061_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_062_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_063_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_064_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_065_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_066_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_067_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_068_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_069_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_070_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_071_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_072_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_073_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_074_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_075_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_076_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_077_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_078_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_079_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_080_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_081_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_082_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_083_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_084_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_085_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_086_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_087_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_088_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_089_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_090_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_091_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_092_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_093_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_094_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_095_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_096_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_097_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_098_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_099_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_100_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_101_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_102_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_103_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_104_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_105_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_106_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_107_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_108_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_109_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_110_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_111_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_112_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_113_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_114_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_115_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_116_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_117_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_118_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_119_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_120_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_121_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_122_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_123_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_124_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_125_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_126_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_127_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_128_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_129_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_130_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_131_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_132_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_133_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_134_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_135_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_136_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_137_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_138_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_139_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_140_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_141_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_142_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_143_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_144_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_145_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_146_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_147_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_148_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_149_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_150_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_151_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_152_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_153_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_154_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_155_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_156_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_157_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_158_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_159_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_160_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_162_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_163_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_164_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_165_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_166_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_167_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
chart_168_brightness_0,Perturbation generation failed - Image processing error,Generation Failure,brightness
chart_169_rotation_0,Perturbation generation failed - Image processing error,Generation Failure,rotation
chart_170_blur_0,Perturbation generation failed - Image processing error,Generation Failure,blur
chart_171_noise_0,Perturbation generation failed - Image processing error,Generation Failure,noise
chart_172_contrast_0,Perturbation generation failed - Image processing error,Generation Failure,contrast
