Chart ID,Exclusion Reason
chart_184,Missing GPT-4V extraction result
chart_185,Missing GPT-4V extraction result
chart_186,Missing GPT-4V extraction result
chart_187,Missing GPT-4V extraction result
chart_188,Missing GPT-4V extraction result
chart_189,Missing GPT-4V extraction result
chart_190,Missing GPT-4V extraction result
chart_191,Missing GPT-4V extraction result
chart_192,Missing GPT-4V extraction result
chart_193,Missing GPT-4V extraction result
chart_194,Missing GPT-4V extraction result
chart_195,Missing GPT-4V extraction result
chart_196,Missing GPT-4V extraction result
chart_197,Missing GPT-4V extraction result
chart_198,Missing GPT-4V extraction result
chart_199,Missing GPT-4V extraction result
