Perturbed Key,Reason,Evidence,Category,Perturbation Type
[Missing perturbation 32],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 33],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 34],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 35],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 36],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 37],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 38],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 39],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 40],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 41],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 42],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 43],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 44],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 45],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 46],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 47],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 48],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 49],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 50],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 51],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 52],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 53],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 54],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 55],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 56],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 57],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 58],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 59],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 60],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 61],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 62],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 63],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 64],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 65],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 66],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 67],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 68],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 69],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 70],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 71],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 72],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 73],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 74],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 75],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 76],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 77],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 78],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 79],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 80],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 81],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 82],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 83],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 84],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 85],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 86],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 87],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 88],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 89],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 90],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 91],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 92],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 93],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 94],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 95],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 96],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 97],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 98],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
[Missing perturbation 99],Perturbation generation or extraction failed completely,Not found in extraction results JSON,Generation/Extraction Failure,unknown
