Perturbed Key,Exclusion Reason
chart_016_medium_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_066_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_051_advanced_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_088_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_092_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_039_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_091_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_114_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_163_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_157_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_023_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_180_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_146_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_072_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_056_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_151_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_015_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_047_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_090_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_073_medium_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_139_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_018_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_094_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_029_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_135_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_115_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_009_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_065_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_178_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_086_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_089_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_022_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_095_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_182_advanced_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_191_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_084_medium_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_181_complex_pie,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_037_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_168_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_085_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_185_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_038_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_001_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_069_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_148_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_112_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_054_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_105_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_188_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_164_advanced_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_048_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_141_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_198_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_152_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_127_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_057_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_053_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_021_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_005_complex_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_006_advanced_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_106_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_149_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_020_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_137_medium_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_197_complex_area,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_171_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_024_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_186_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_033_medium_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_055_complex_line,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_060_advanced_bar,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_068_medium_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
chart_187_complex_scatter,Invalid or incomplete JSON (missing 'data' or 'chart_type')
